nfd-1-cps,nfd-3-pwr,nfd-4-flux,cont air counts,ram-con-lvl,ram-pool-lvl,ram-wtr-lvl,,,,,,,,,,,,,,,,,,,
18640000,49.4457,45.6134,350.3508636,0.088210317,7.318025551,0.072122353,94,,,,,,,,,,,,,,,,,,
18650000,49.4536,45.6132,350.3580919,0.100940543,7.349607873,0.071823891,95,,,,,,,,,,,,,,,,,,
18650000,49.4504,45.6125,350.3721132,0.112041086,7.414538884,0.072283439,96,,,,,,,,,,,,,,,,,,
18640000,49.4386,45.6129,350.361764,0.114471493,7.485933062,0.074154751,97,,,,,,,,,,,,,,,,,,
18610000,49.4386,45.6068,350.3599319,0.114509412,7.514741267,0.074234389,98,,,,,,,,,,,,,,,,,,
18630000,49.4845,45.7074,350.3534845,0.117104977,7.598636893,0.074402172,99,,,,,,,,,,,,,,,,,,
18630000,49.5463,45.7405,350.3455603,0.130326606,7.72004736,0.073516652,100,,,,,,,,,,,,,,,,,,
18650000,49.5798,45.7916,350.3396878,0.144678009,7.795811946,0.071307421,101,,,,,,,,,,,,,,,,,,
18650000,49.5779,45.8086,350.3392893,0.151087873,7.856273906,0.069935475,102,,,,,,,,,,,,,,,,,,
18650000,49.5775,45.8092,350.3221282,0.159649683,7.903244736,0.067123529,103,,,,,,,,,,,,,,,,,,
18650000,49.5991,45.8096,350.3287704,0.165821991,7.959705882,0.064561629,104,,,,,,,,,,,,,,,,,,
18640000,49.6146,45.8127,350.355929,0.176912127,8.009360332,0.063885158,105,,,,,,,,,,,,,,,,,,
18640000,49.5877,45.8116,350.367082,0.189219819,8.029423288,0.062699638,106,,,,,,,,,,,,,,,,,,
18660000,49.6058,45.8118,350.3838243,0.202248869,8.106147421,0.061463167,107,,,,,,,,,,,,,,,,,,
18700000,49.61,45.8183,350.3997639,0.216271312,8.183113454,0.060101719,108,,,,,,,,,,,,,,,,,,
18680000,49.6145,45.8108,350.4024995,0.220768507,8.26949279,0.058739367,109,,,,,,,,,,,,,,,,,,
18690000,49.6038,45.811,350.4053927,0.222483439,8.338467783,0.059004072,110,,,,,,,,,,,,,,,,,,
18690000,49.645,45.8234,350.4071505,0.217268869,8.406793906,0.058712579,111,,,,,,,,,,,,,,,,,,
18690000,49.6529,45.8365,350.4111395,0.215645339,8.45619279,0.058335747,112,,,,,,,,,,,,,,,,,,
18740000,49.6698,45.8534,350.4222991,0.207600271,8.552532489,0.058408054,113,,,,,,,,,,,,,,,,,,
18690000,49.6501,45.8774,350.4141334,0.20038,8.604874359,0.059149502,114,,,,,,,,,,,,,,,,,,
18690000,49.6799,45.8899,350.400371,0.190795385,8.65024184,0.058794842,115,,,,,,,,,,,,,,,,,,
18680000,49.6753,45.897,350.3833126,0.176271131,8.69361819,0.05895086,116,,,,,,,,,,,,,,,,,,
18690000,49.7018,45.899,350.3493643,0.179226787,8.74959816,0.059435113,117,,,,,,,,,,,,,,,,,,
18690000,49.7108,45.8988,350.313011,0.184857738,8.798883288,0.059392851,118,,,,,,,,,,,,,,,,,,
18690000,49.6978,45.8978,350.2551068,0.194273213,8.857980814,0.061544163,119,,,,,,,,,,,,,,,,,,
18700000,49.733,45.8992,350.2165623,0.207238009,8.915393997,0.062356923,120,,,,,,,,,,,,,,,,,,
18700000,49.7335,45.9033,350.1992417,0.219216561,8.965040935,0.063506244,121,,,,,,,,,,,,,,,,,,
18750000,49.7208,45.9011,350.1577272,0.230984253,9.005503258,0.063857104,122,,,,,,,,,,,,,,,,,,
18730000,49.7374,45.9015,350.1258783,0.241838281,9.019361508,0.06438543,123,,,,,,,,,,,,,,,,,,
18740000,49.7355,45.9008,350.0871764,0.255601357,9.007950256,0.063721538,124,,,,,,,,,,,,,,,,,,
18740000,49.7326,45.9029,350.0768413,0.259225339,9.032091131,0.060570679,125,,,,,,,,,,,,,,,,,,
18740000,49.7404,45.9012,350.0876917,0.26389276,9.045038974,0.057325339,126,,,,,,,,,,,,,,,,,,
18740000,49.7536,45.901,350.1217227,0.253891946,9.038744103,0.054537285,127,,,,,,,,,,,,,,,,,,
18740000,49.732,45.9,350.1227532,0.248710226,9.072718371,0.052232851,128,,,,,,,,,,,,,,,,,,
18750000,49.7485,45.9023,350.1496233,0.242431584,9.13253825,0.050960452,129,,,,,,,,,,,,,,,,,,
18760000,49.7639,45.9097,350.1858721,0.231817557,9.225423379,0.051609412,130,,,,,,,,,,,,,,,,,,
18750000,49.7685,45.9121,350.2122844,0.224344072,9.31115629,0.053393122,131,,,,,,,,,,,,,,,,,,
18750000,49.7719,45.9426,350.2342616,0.20939457,9.391844585,0.054448959,132,,,,,,,,,,,,,,,,,,
18760000,49.7838,45.9731,350.272903,0.198592036,9.502418582,0.056842896,133,,,,,,,,,,,,,,,,,,
18760000,49.791,46.003,350.3239225,0.194853394,9.574644072,0.05895629,134,,,,,,,,,,,,,,,,,,
18790000,49.8245,46.0125,350.3884805,0.189556742,9.595799336,0.060491946,135,,,,,,,,,,,,,,,,,,
18750000,49.8194,46.0167,350.3983265,0.189580362,9.619860392,0.06047095,136,,,,,,,,,,,,,,,,,,
18750000,49.8251,46.013,350.3970651,0.192159095,9.638711403,0.06026733,137,,,,,,,,,,,,,,,,,,
18790000,49.8405,46.0099,350.35467,0.194064434,9.669202866,0.059159729,138,,,,,,,,,,,,,,,,,,
18790000,49.8416,46.0098,350.3357735,0.191956742,9.730475596,0.058741267,139,,,,,,,,,,,,,,,,,,
18790000,49.852,46.0142,350.2983937,0.195321719,9.752047421,0.057704977,140,,,,,,,,,,,,,,,,,,
18790000,49.8538,46.0154,350.2612146,0.186682172,9.800303409,0.058029412,141,,,,,,,,,,,,,,,,,,
18800000,49.8642,46.0429,350.2074111,0.183154932,9.84760175,0.05933086,142,,,,,,,,,,,,,,,,,,
18800000,49.9088,46.0798,350.1682719,0.181559276,9.868262353,0.061253665,143,,,,,,,,,,,,,,,,,,
18800000,49.9033,46.1039,350.1094548,0.177302624,9.893763318,0.063050588,144,,,,,,,,,,,,,,,,,,
18840000,49.9478,46.1031,350.0336171,0.173968416,9.911141026,0.064336561,145,,,,,,,,,,,,,,,,,,
18850000,49.9595,46.1058,349.9591009,0.170088235,9.952602172,0.065250498,146,,,,,,,,,,,,,,,,,,
18810000,49.9725,46.1151,349.9159966,0.171246787,10.02383961,0.064918733,147,,,,,,,,,,,,,,,,,,
18800000,50.0003,46.1395,349.8779627,0.178757828,10.07459261,0.06404905,148,,,,,,,,,,,,,,,,,,
18800000,50.0011,46.2006,349.8779543,0.181437919,10.09683421,0.062648416,149,,,,,,,,,,,,,,,,,,
18800000,49.9652,46.2124,349.8618545,0.179616018,10.14588603,0.05983448,150,,,,,,,,,,,,,,,,,,
18800000,50.0373,46.2141,349.8618905,0.175964072,10.21527523,0.058347421,151,,,,,,,,,,,,,,,,,,
18800000,50.0675,46.2153,349.8541942,0.174751674,10.26726896,0.057291855,152,,,,,,,,,,,,,,,,,,
18820000,50.0761,46.2184,349.8707055,0.170542353,10.35899183,0.057041719,153,,,,,,,,,,,,,,,,,,
18870000,50.0759,46.2226,349.8860216,0.166761991,10.41895641,0.056840271,154,,,,,,,,,,,,,,,,,,
18870000,50.0763,46.2359,349.888742,0.160203439,10.4826429,0.056252127,155,,,,,,,,,,,,,,,,,,
18870000,50.0771,46.2605,349.8541185,0.163197014,10.51171671,0.055847149,156,,,,,,,,,,,,,,,,,,
18920000,50.0821,46.2963,349.8335472,0.172112851,10.57563903,0.054198371,157,,,,,,,,,,,,,,,,,,
18900000,50.1228,46.3175,349.8154169,0.184202624,10.61067303,0.053047149,158,,,,,,,,,,,,,,,,,,
18920000,50.0874,46.321,349.8126031,0.195653122,10.65613526,0.052226968,159,,,,,,,,,,,,,,,,,,
18910000,50.1118,46.3193,349.8301984,0.203882443,10.69200754,0.052126154,160,,,,,,,,,,,,,,,,,,
18860000,50.1598,46.3222,349.8599671,0.207001629,10.77902905,0.04959629,161,,,,,,,,,,,,,,,,,,
18890000,50.165,46.3224,349.8659176,0.211138824,10.83027092,0.04994362,162,,,,,,,,,,,,,,,,,,
18960000,50.1622,46.3262,349.8877148,0.206207873,10.84362311,0.050612127,163,,,,,,,,,,,,,,,,,,
18980000,50.1435,46.3293,349.9242579,0.198032308,10.87820661,0.050813394,164,,,,,,,,,,,,,,,,,,
18970000,50.1451,46.3288,349.9327274,0.192805701,10.88685635,0.052079186,165,,,,,,,,,,,,,,,,,,
18920000,50.1444,46.3266,349.9030851,0.186704525,10.91525922,0.052904163,166,,,,,,,,,,,,,,,,,,
18920000,50.1709,46.3241,349.8825957,0.178977466,10.96968733,0.054202805,167,,,,,,,,,,,,,,,,,,
18850000,50.184,46.3257,349.8783048,0.178725068,10.99995735,0.055525882,168,,,,,,,,,,,,,,,,,,
18850000,50.2007,46.3281,349.8177977,0.178946154,11.08484166,0.055751222,169,,,,,,,,,,,,,,,,,,
18910000,50.1968,46.3251,349.7496064,0.187421629,11.16236407,0.055110407,170,,,,,,,,,,,,,,,,,,
